code,name,repository_url
AL,Alabama,https://open.pluralpolicy.com/
AK,Alaska,https://open.pluralpolicy.com/
AZ,Arizona,https://open.pluralpolicy.com/
AR,Arkansas,https://open.pluralpolicy.com/
CA,California,https://open.pluralpolicy.com/
CO,Colorado,https://open.pluralpolicy.com/
CT,Connecticut,https://open.pluralpolicy.com/
DE,Delaware,https://open.pluralpolicy.com/
FL,Florida,https://open.pluralpolicy.com/
GA,Georgia,https://open.pluralpolicy.com/
HI,Hawaii,https://open.pluralpolicy.com/
ID,Idaho,https://open.pluralpolicy.com/
IL,Illinois,https://open.pluralpolicy.com/
IN,Indiana,https://open.pluralpolicy.com/
IA,Iowa,https://open.pluralpolicy.com/
KS,Kansas,https://open.pluralpolicy.com/
KY,Kentucky,https://open.pluralpolicy.com/
LA,Louisiana,https://open.pluralpolicy.com/
ME,Maine,https://open.pluralpolicy.com/
MD,Maryland,https://open.pluralpolicy.com/
MA,Massachusetts,https://open.pluralpolicy.com/
MI,Michigan,https://open.pluralpolicy.com/
MN,Minnesota,https://open.pluralpolicy.com/
MS,Mississippi,https://open.pluralpolicy.com/
MO,Missouri,https://open.pluralpolicy.com/
MT,Montana,https://open.pluralpolicy.com/
NE,Nebraska,https://open.pluralpolicy.com/
NV,Nevada,https://open.pluralpolicy.com/
NH,New Hampshire,https://open.pluralpolicy.com/
NJ,New Jersey,https://open.pluralpolicy.com/
NM,New Mexico,https://open.pluralpolicy.com/
NY,New York,https://open.pluralpolicy.com/
NC,North Carolina,https://open.pluralpolicy.com/
ND,North Dakota,https://open.pluralpolicy.com/
OH,Ohio,https://open.pluralpolicy.com/
OK,Oklahoma,https://open.pluralpolicy.com/
OR,Oregon,https://open.pluralpolicy.com/
PA,Pennsylvania,https://open.pluralpolicy.com/
RI,Rhode Island,https://open.pluralpolicy.com/
SC,South Carolina,https://open.pluralpolicy.com/
SD,South Dakota,https://open.pluralpolicy.com/
TN,Tennessee,https://open.pluralpolicy.com/
TX,Texas,https://open.pluralpolicy.com/
UT,Utah,https://open.pluralpolicy.com/
VT,Vermont,https://open.pluralpolicy.com/
VA,Virginia,https://open.pluralpolicy.com/
WA,Washington,https://open.pluralpolicy.com/
WV,West Virginia,https://open.pluralpolicy.com/
WI,Wisconsin,https://open.pluralpolicy.com/
WY,Wyoming,https://open.pluralpolicy.com/
DC,District of Columbia,https://open.pluralpolicy.com/
